"Probe Set ID","Species Scientific Name","Transcript ID(Array Design)","Representative Public ID","Gene Symbol"
"1769308_at","Saccharomyces cerevisiae","YKR009C","YKR009C.S1","FOX2"
"1769309_at","Schizosaccharomyces pombe","SPBC1105.11c","SPBC1105.11c.S1","---"
"1769310_at","Schizosaccharomyces pombe","SPCC18.05c","SPCC18.05c.S1","---"
"1769311_at","Saccharomyces cerevisiae","YDL157C","YDL157C.S1","---"
"1769312_at","Saccharomyces cerevisiae","YER059W","YER059W.S1","PCL6"
"1769313_at","Saccharomyces cerevisiae","YGL059W","YGL059W.S1","---"
"1769314_at","Saccharomyces cerevisiae","YDR481C","YDR481C.S1","PHO8"
"1769315_at","Schizosaccharomyces pombe","SPBC32H8.10","SPBC32H8.10.S1","---"
"1769316_s_at","Schizosaccharomyces pombe","SPAC750.05c","SPAC750.05c.S1","---"
"1769317_at","Saccharomyces cerevisiae","YML113W","YML113W.S1","DAT1"
"1769318_at","Schizosaccharomyces pombe","SPCC830.06","SPCC830.06.S1","---"
"1769319_at","Saccharomyces cerevisiae","YIL157C","YIL157C.S1","COA1"
"1769320_at","Saccharomyces cerevisiae","YPR003C","YPR003C.S1","---"
"1769321_at","Saccharomyces cerevisiae","YNR074C","YNR074C.S1","AIF1"
"1769322_s_at","Saccharomyces cerevisiae","YLR154C-H","YLR154C-H.S1","---"
"1769323_at","Saccharomyces cerevisiae","YKL012W","YKL012W.S1","PRP40"
"1769324_at","Saccharomyces cerevisiae","YJL147C","YJL147C.S1","---"
"1769325_at","Saccharomyces cerevisiae","YDL216C","YDL216C.S1","RRI1"
"1769326_at","Schizosaccharomyces pombe","SPBC1105.05","SPBC1105.05.S1","---"
"1769327_at","Schizosaccharomyces pombe","SPCC1840.01c","SPCC1840.01c.S1","---"
"1769328_at","Schizosaccharomyces pombe","SPCC895.03c","SPCC895.03c.S1","---"
"1769329_at","Saccharomyces cerevisiae","YNL320W","YNL320W.S1","---"
"1769330_at","Schizosaccharomyces pombe","SPBC428.08c","SPBC428.08c.S1","---"
"1769331_at","Saccharomyces cerevisiae","YHL007C","YHL007C.S1","STE20"
"1769333_at","Saccharomyces cerevisiae","YPL223C","YPL223C.S1","GRE1"
"1769334_at","Schizosaccharomyces pombe","SPBC11C11.06c","SPBC11C11.06c.S1","---"
"1769335_at","Saccharomyces cerevisiae","YKL138C","YKL138C.S1","MRPL31"
"1769336_at","Saccharomyces cerevisiae","YNL126W","YNL126W.S1","SPC98"
"1769337_at","Schizosaccharomyces pombe","SPBC83.16c","SPBC83.16c.S1","---"
"1769338_at","Saccharomyces cerevisiae","YKL055C","YKL055C.S1","OAR1"
"1769339_at","Saccharomyces cerevisiae","YML035C","YML035C.S1","AMD1"
"1769340_at","Schizosaccharomyces pombe","SPAC24C9.16c","SPAC24C9.16c.S1","---"
"1769341_at","Saccharomyces cerevisiae","YER087C-B","YER087C-B.S1","SBH1"
"1769342_at","Saccharomyces cerevisiae","YIL160C","YIL160C.S1","POT1"
"1769343_at","Schizosaccharomyces pombe","SPAPB8E5.05","SPAPB8E5.05.S1","---"
"1769344_at","Saccharomyces cerevisiae","YLR050C","YLR050C.S1","---"
"1769345_at","Saccharomyces cerevisiae","YOR037W","YOR037W.S1","CYC2"
"1769346_at","Saccharomyces cerevisiae","YOL008W","YOL008W.S1","COQ10"
"1769347_at","Schizosaccharomyces pombe","SPCC1235.01","SPCC1235.01.S1","---"
"1769348_at","Schizosaccharomyces pombe","SPAC1296.05c","SPAC1296.05c.S1","---"
"1769349_s_at","Saccharomyces cerevisiae","YOR072W-B","YOR072W-B.S1","---"
"1769350_at","Saccharomyces cerevisiae","YPL253C","YPL253C.S1","VIK1"
"1769351_at","Schizosaccharomyces pombe","SPAC4F10.20","SPAC4F10.20.S1","---"
"1769352_at","Saccharomyces cerevisiae","YDL048C","YDL048C.S1","STP4"
"1769353_at","Schizosaccharomyces pombe","SPBC2D10.12","SPBC2D10.12.S1","---"
"1769354_at","Schizosaccharomyces pombe","SPCC1183.09c","SPCC1183.09c.S1","---"
"1769355_at","Schizosaccharomyces pombe","SPBC56F2.02","SPBC56F2.02.S1","---"
"1769356_at","Saccharomyces cerevisiae","YDR056C","YDR056C.S1","---"
"1769357_at","Schizosaccharomyces pombe","SPBC21B10.08c","SPBC21B10.08c.S1","---"
"1769358_at","Saccharomyces cerevisiae","YNL083W","YNL083W.S1","SAL1"
"1769359_at","Saccharomyces cerevisiae","YCR081W","YCR081W.S1","SRB8"
"1769360_at","Schizosaccharomyces pombe","SPBP22H7.03","SPBP22H7.03.S1","---"
"1769361_at","Saccharomyces cerevisiae","YDL159W","YDL159W.S1","STE7"
"1769362_at","Saccharomyces cerevisiae","YCR024C-B","YCR024C-B.S1","---"
"1769363_at","Schizosaccharomyces pombe","SPAC1B3.14","SPAC1B3.14.S1","---"
"1769364_at","Schizosaccharomyces pombe","SPAC10F6.12c","SPAC10F6.12c.S1","---"
"1769365_at","Saccharomyces cerevisiae","YPL154C","YPL154C.S1","PEP4"
"1769366_at","Saccharomyces cerevisiae","YDR020C","YDR020C.S1","---"
"1769367_at","Schizosaccharomyces pombe","SPAC13G7.06","SPAC13G7.06.S1","---"
"1769368_at","Saccharomyces cerevisiae","YOR290C","YOR290C.S1","SNF2"
"1769369_at","Schizosaccharomyces pombe","SPCC10H11.01","SPCC10H11.01.S1","---"
"1769370_at","Schizosaccharomyces pombe","SPAC17A5.12","SPAC17A5.12.S1","---"
"1769371_at","Saccharomyces cerevisiae","YGR267C","YGR267C.S1","FOL2"
"1769372_at","Schizosaccharomyces pombe","SPAC1039.08","SPAC1039.08.S1","---"
"1769373_at","Saccharomyces cerevisiae","YNL216W","YNL216W.S1","RAP1"
"1769374_at","Saccharomyces cerevisiae","YFL034C-B","YFL034C-B.S1","MOB2"
"1769375_at","Saccharomyces cerevisiae","YEL031W","YEL031W.S1","SPF1"
"1769376_at","Schizosaccharomyces pombe","SPAC23G3.11","SPAC23G3.11.S1","---"
"1769377_at","Saccharomyces cerevisiae","YBR238C","YBR238C.S1","---"
"1769378_at","Saccharomyces cerevisiae","YFL045C","YFL045C.S1","SEC53"
"1769379_at","Saccharomyces cerevisiae","YGL222C","YGL222C.S1","EDC1"
"1769380_at","Schizosaccharomyces pombe","SPBC20F10.07","SPBC20F10.07.S1","---"
"1769381_at","Schizosaccharomyces pombe","SPBC21H7.05","SPBC21H7.05.S1","---"
"1769382_at","Schizosaccharomyces pombe","SPBC16A3.11","SPBC16A3.11.S1","---"
"1769383_at","Saccharomyces cerevisiae","YIR021W","YIR021W.S1","MRS1"
